Latitude,Longitude,SOURCE,SOURCE.NAM,OTHER.NAME,WELL.ID,Al (ppb),As (ppb),Ba (ppb),Ca (ppb),Cl (ppb),Cr (ppb),Cu (ppb),F (ppb),Fe (ppb),K (ppb),Mg (ppb),Mn (ppb),Mo (ppb),Ni (ppb),NO3 (ppb),Pb (ppb),Se (ppb),SO4 (ppb),Sr (ppb),U (ppb),V (ppb0,Zn (ppb),Cr_level,Cr_level1
39.06163889,-121.57191670000002,USGS,ESAC-FP-01,ESAC-FP-01,ESAC-FP-01,1.3,1.1,72.8,45300.0,124000.0,0.02,0.4,90.0,106.0,1870.0,9090.0,184.0,0.85,0.05,60.0,0.08,0.08,180.0,455.0,0.03996,0.05,6.4,0,Normal Cr
39.73172222,-121.865,USGS,ESAC-FP-02,ESAC-FP-02,ESAC-FP-02,2.1,0.71,34.7,40300.0,13500.0,4.0,0.2,60.0,64.8,1550.0,26000.0,14.5,0.74,2.2,2360.0,0.13,0.07,11300.0,261.0,0.4588,7.5,6.3,2,Normal Cr
39.57705556,-121.90830559999999,USGS,ESAC-FP-04,ESAC-FP-04,ESAC-FP-04,1.7,3.2,15.8,14300.0,1790.0,2.0,0.4,100.0,67.4,2290.0,11200.0,3.54,0.42,0.3,158.0,0.08,0.12,2110.0,100.0,0.09028,10.0,0.68,1,Normal Cr
39.49275,-121.96483329999998,USGS,ESAC-FP-05,ESAC-FP-05,ESAC-FP-05,2.7,6.5,116.0,66100.0,9430.0,5.3,0.4,80.0,6.0,2750.0,41500.0,0.3,0.63,0.57,6010.0,0.08,0.38,26500.0,534.0,5.4464,26.3,0.6,3,Normal Cr
39.49275,-121.96483329999998,USGS,ESAC-FP-06,ESAC-FP-06,ESAC-FP-06,39.4,12.7,17.2,13500.0,19400.0,0.7,0.4,90.0,13.7,2880.0,3990.0,8.42,4.94,0.47,60.0,0.07,0.08,1390.0,127.0,0.06956,2.9,0.6,0,Normal Cr
39.49275,-121.96483329999998,USGS,ESAC-FP-07,ESAC-FP-07,ESAC-FP-07,17.2,9.0,35.0,14600.0,35900.0,0.22,0.4,90.0,9.6,2730.0,4690.0,16.4,8.27,0.76,60.0,0.05,0.08,280.0,96.7,0.05032,0.7,0.6,0,Normal Cr
37.81683333,-121.26666670000002,USGS,ESJ-01,ESJ-01,ESJ-01,3.0,17.3,294.0,60300.0,63500.0,2.7,0.8,140.0,7.5,4010.0,14000.0,0.31,1.24,0.67,3520.0,0.11800000000000001,0.66,20600.0,553.0,6.3788,17.3,3.5,2,Normal Cr
37.81683333,-121.26666670000002,USGS,ESJ-01,ESJ-01,ESJ-01,1.6,16.3,289.0,58000.0,62400.0,3.0,0.8,140.0,8.0,4080.0,13500.0,1.04,1.12,0.41,3630.0,0.461,0.83,19300.0,665.0,7.547999999999999,15.1,4.3,2,Normal Cr
37.81683333,-121.26666670000002,USGS,ESJ-01,ESJ-01,ESJ-01,2.2,17.8,348.0,65100.0,72000.0,2.6,0.73,110.0,4.0,3830.0,15300.0,5.32,1.18,0.36,4430.0,0.187,0.77,22200.0,598.0,6.068,15.5,2.7,2,Normal Cr
38.10113889,-121.28025,USGS,ESJ-06,ESJ-06,ESJ-06,4.2,4.3,114.0,33200.0,15400.0,4.7,0.4,110.0,6.0,7430.0,13200.0,0.2,0.7809999999999999,0.23,3690.0,0.067,0.5,16600.0,416.0,3.8036,32.4,5.6,2,Normal Cr
38.10113889,-121.28025,USGS,ESJ-06,ESJ-06,ESJ-06,2.2,4.6,97.3,28100.0,13500.0,4.6,0.71,130.0,8.0,7420.0,14400.0,0.2,0.872,0.8,2770.0,0.20199999999999999,0.33,13600.0,415.0,4.958,28.9,1.6,2,Normal Cr
38.10113889,-121.28025,USGS,ESJ-06,ESJ-06,ESJ-06,1.0,3.1,119.0,30100.0,14300.0,5.1,1.3,110.0,3.2,7660.0,15500.0,0.98,0.85,0.21,3260.0,0.078,0.3,16200.0,329.0,3.2560000000000002,33.4,0.9,3,Normal Cr
38.10113889,-121.28025,USGS,ESJ-06,ESJ-06,ESJ-06,1.6,4.5,95.7,36300.0,17400.0,5.4,1.3,140.0,11.8,7230.0,13000.0,0.54,0.652,0.78,3000.0,1.0,0.34,14400.0,340.0,4.5436,32.5,1.5,3,Normal Cr
37.79963889,-120.97866670000002,USGS,ESJ-08,ESJ-08,ESJ-08,1.0,3.3,69.5,14400.0,7820.0,4.9,4.0,230.0,6.0,2950.0,8060.0,0.36,0.787,0.24,3810.0,0.8740000000000001,0.17,3080.0,186.0,0.145928,30.4,3.5,2,Normal Cr
37.79963889,-120.97866670000002,USGS,ESJ-08,ESJ-08,ESJ-08,5.2,3.0,68.4,13100.0,7570.0,4.3,1.7,270.0,4.0,3250.0,7570.0,0.4,0.856,0.42,3000.0,1.75,0.2,2930.0,169.0,0.12698399999999999,27.9,2.9,2,Normal Cr
